timestamp,datetime,CH4,CO,NO,NO2,OZ,PM10,PM2.5,SO2
1667260800,01.11.2022 00:00,1.47,0.1,0.005,0.009,0.0245,0.006,0.004,0.0008
1667264400,01.11.2022 01:00,1.47,0.1,0.004,0.007,0.0253,0.006,0.005,0.0009
1667268000,01.11.2022 02:00,1.49,0.03,0.004,0.005,0.0264,0.005,0.003,0.0011
1667271600,01.11.2022 03:00,1.48,0.0,0.003,0.003,0.0273,0.004,0.004,0.001
1667275200,01.11.2022 04:00,1.49,0.0,0.003,0.003,0.0279,0.005,0.004,0.0011
1667278800,01.11.2022 05:00,1.48,0.0,0.004,0.003,0.0277,0.005,0.003,0.0011
1667282400,01.11.2022 06:00,1.5,0.0,0.003,0.004,0.0289,0.004,0.004,0.001
1667286000,01.11.2022 07:00,1.48,0.0,0.005,0.006,0.0258,0.005,0.003,0.001
1667289600,01.11.2022 08:00,1.49,0.0,0.006,0.012,0.0217,0.009,0.005,0.001
1667293200,01.11.2022 09:00,1.49,0.0,0.009,0.018,0.0198,0.012,0.005,0.0011
1667296800,01.11.2022 10:00,1.51,0.0,0.011,0.019,0.0197,0.014,0.006,0.0012
1667300400,01.11.2022 11:00,1.49,0.0,0.011,0.019,0.0221,0.015,0.005,0.0014
1667304000,01.11.2022 12:00,1.49,0.0,0.01,0.017,0.0248,0.014,0.006,0.0013
1667307600,01.11.2022 13:00,1.5,0.0,0.011,0.016,0.0263,0.014,0.006,0.0013
1667311200,01.11.2022 14:00,1.5,0.0,0.011,0.021,0.0212,0.015,0.006,0.0014
1667314800,01.11.2022 15:00,1.49,0.0,0.012,0.023,0.0198,0.017,0.006,0.0013
1667318400,01.11.2022 16:00,1.51,0.0,0.013,0.025,0.0179,0.018,0.007,0.0013
1667322000,01.11.2022 17:00,1.52,0.0,0.014,0.031,0.0143,0.019,0.006,0.0014
1667325600,01.11.2022 18:00,1.48,0.0,0.015,0.034,0.0114,0.022,0.008,0.0015
1667329200,01.11.2022 19:00,1.51,0.0,0.015,0.038,0.0103,0.021,0.007,0.0014
1667332800,01.11.2022 20:00,1.53,0.0,0.02,0.046,0.0047,0.023,0.007,0.0016
1667336400,01.11.2022 21:00,1.52,0.07,0.03,0.052,0.0016,0.029,0.009,0.0016
1667340000,01.11.2022 22:00,1.48,0.03,0.027,0.049,0.0015,0.028,0.01,0.0016
1667343600,01.11.2022 23:00,1.5,0.07,0.03,0.048,0.0013,0.028,0.009,0.0016
1667347200,02.11.2022 00:00,1.5,0.03,0.03,0.047,0.0013,0.027,0.01,0.0015
1667350800,02.11.2022 01:00,1.53,0.0,0.024,0.045,0.0012,0.023,0.009,0.0014
1667354400,02.11.2022 02:00,1.55,0.2,0.027,0.045,0.0011,0.021,0.009,0.0016
1667358000,02.11.2022 03:00,1.52,0.2,0.029,0.045,0.0012,0.021,0.008,0.0015
1667361600,02.11.2022 04:00,1.53,0.2,0.024,0.044,0.0011,0.019,0.009,0.0013
1667365200,02.11.2022 05:00,1.53,0.2,0.023,0.044,0.0015,0.018,0.009,0.001
