timestamp,datetime,CH4 (mg/m3),CO (mg/m3),NO (mg/m3),NO2 (mg/m3),OZ (mg/m3),PM10 (mg/m3),PM2.5 (mg/m3),SO2 (mg/m3)
1714521600,01.05.2024 00:00,1.42,0.0,0.001,0.027,0.0774,0.03,0.016,0.0011
1714525200,01.05.2024 01:00,1.41,0.03,0.001,0.03,0.0648,0.028,0.017,0.0009
1714528800,01.05.2024 02:00,1.44,0.07,0.001,0.04,0.05,0.037,0.023,0.0009
1714532400,01.05.2024 03:00,1.45,0.13,0.002,0.037,0.0452,0.034,0.023,0.0007
1714536000,01.05.2024 04:00,1.45,0.2,0.002,0.036,0.0441,0.024,0.016,0.0007
1714539600,01.05.2024 05:00,1.4,0.2,0.001,0.02,0.0697,0.01,0.005,0.0008
1714543200,01.05.2024 06:00,1.4,0.2,0.001,0.021,0.0616,0.015,0.01,0.0007
1714546800,01.05.2024 07:00,1.4,0.2,0.001,0.02,0.0564,0.015,0.01,0.0005
1714550400,01.05.2024 08:00,1.42,0.2,0.004,0.025,0.0433,0.016,0.011,0.0009
1714554000,01.05.2024 09:00,1.43,0.2,0.007,0.022,0.0485,0.013,0.0,0.0009
1714554000,01.05.2024 09:00,1.43,0.2,0.007,0.022,0.0485,0.013,0.006,0.0009
1714557600,01.05.2024 10:00,1.41,0.2,0.003,0.015,0.0729,0.002,0.0,0.001
1714557600,01.05.2024 10:00,1.41,0.2,0.003,0.015,0.0729,0.0,0.0,0.001
1714561200,01.05.2024 11:00,1.39,0.2,0.002,0.011,0.0833,0.01,0.0,0.0008
1714564800,01.05.2024 12:00,1.38,0.2,0.002,0.011,0.0908,0.008,0.0,0.0007
1714568400,01.05.2024 13:00,1.38,0.2,0.002,0.01,0.0955,0.011,0.001,0.0007
1714572000,01.05.2024 14:00,1.36,0.2,0.001,0.01,0.0979,0.012,0.002,0.0007
1714575600,01.05.2024 15:00,1.36,0.17,0.001,0.01,0.1022,0.012,0.004,0.0009
1714579200,01.05.2024 16:00,1.35,0.1,0.001,0.009,0.1027,0.01,0.002,0.0007
1714582800,01.05.2024 17:00,1.36,0.1,0.001,0.01,0.1011,0.012,0.005,0.0006
1714586400,01.05.2024 18:00,1.36,0.1,0.001,0.011,0.1023,0.012,0.003,0.0007
1714590000,01.05.2024 19:00,1.37,0.1,0.001,0.014,0.0996,0.014,0.005,0.0008
1714593600,01.05.2024 20:00,1.38,0.1,0.001,0.019,0.0926,0.014,0.005,0.0007
1714597200,01.05.2024 21:00,1.4,0.17,0.001,0.027,0.0729,0.018,0.01,0.0009
1714600800,01.05.2024 22:00,1.4,0.1,0.001,0.029,0.0647,0.018,0.01,0.0009
1714604400,01.05.2024 23:00,1.41,0.13,0.001,0.031,0.0605,0.017,0.009,0.0011
1714608000,02.05.2024 00:00,1.41,0.1,0.001,0.024,0.0645,0.018,0.009,0.0014
1714611600,02.05.2024 01:00,1.41,0.1,0.001,0.015,0.0702,0.015,0.008,0.0011
1714615200,02.05.2024 02:00,1.42,0.1,0.001,0.015,0.0652,0.013,0.007,0.0011
1714618800,02.05.2024 03:00,1.42,0.17,0.001,0.021,0.0559,0.011,0.004,0.0007
1714622400,02.05.2024 04:00,1.41,0.2,0.001,0.019,0.0538,0.011,0.006,0.001
1714626000,02.05.2024 05:00,1.42,0.2,0.001,0.018,0.0568,0.01,0.004,0.0007
1714629600,02.05.2024 06:00,1.41,0.2,0.001,0.016,0.0582,0.008,0.004,0.0008
1714633200,02.05.2024 07:00,1.42,0.2,0.003,0.024,0.0489,0.014,0.009,0.0012
1714636800,02.05.2024 08:00,1.43,0.2,0.005,0.02,0.0541,0.013,0.007,0.0009
1714640400,02.05.2024 09:00,1.41,0.2,0.005,0.021,0.0587,0.01,0.004,0.0014
1714644000,02.05.2024 10:00,1.41,0.2,0.004,0.023,0.0615,0.013,0.004,0.0012
1714647600,02.05.2024 11:00,1.4,0.2,0.004,0.018,0.0722,0.018,0.005,0.002
1714651200,02.05.2024 12:00,1.39,0.2,0.003,0.016,0.0791,0.015,0.003,0.0012
1714654800,02.05.2024 13:00,1.39,0.2,0.003,0.017,0.0805,0.018,0.005,0.0008
1714658400,02.05.2024 14:00,1.39,0.2,0.004,0.013,0.0769,0.015,0.005,0.0008
1714662000,02.05.2024 15:00,1.4,0.1,0.004,0.014,0.0727,0.015,0.006,0.0008
1714665600,02.05.2024 16:00,1.39,0.0,0.003,0.014,0.0754,0.016,0.005,0.0008
1714669200,02.05.2024 17:00,1.39,0.0,0.003,0.014,0.0762,0.016,0.004,0.0011
1714672800,02.05.2024 18:00,1.39,0.0,0.002,0.017,0.0735,0.016,0.005,0.0011
1714676400,02.05.2024 19:00,1.4,0.0,0.002,0.02,0.0684,0.018,0.006,0.001
