timestamp,datetime,CH4 (mg/m3),CO (mg/m3),NO (mg/m3),NO2 (mg/m3),OZ (mg/m3),PM10 (mg/m3),PM2.5 (mg/m3),SO2 (mg/m3),H2S (mg/m3)
1718114400,11.06.2024 14:00,,0.47,0.002,0.019,,0.03,,0.0017,0.0006
1718118000,11.06.2024 15:00,,0.43,0.002,0.016,,0.03,,0.0019,0.0006
1718121600,11.06.2024 16:00,,0.4,0.002,0.015,,0.033,,0.0019,0.0006
1718125200,11.06.2024 17:00,,0.5,0.001,0.018,,0.036,,0.0017,0.0005
1718128800,11.06.2024 18:00,,0.5,0.0,0.02,,0.034,,0.0018,0.0005
1718132400,11.06.2024 19:00,,0.57,0.002,0.039,,0.029,,0.0018,0.0006
1718136000,11.06.2024 20:00,,0.6,0.001,0.045,,0.02,,0.0016,0.0006
1718139600,11.06.2024 21:00,,0.57,0.001,0.048,,0.015,,0.0017,0.0007
1718143200,11.06.2024 22:00,,0.4,0,0.037,,0.022,,0.0014,0.0007
1718146800,11.06.2024 23:00,,0.1,0,0.041,,0.019,,0.0017,0.0008
1718150400,12.06.2024 00:00,,0.1,0,0.047,,0.017,,0.0014,0.0008
1718154000,12.06.2024 01:00,,0.03,0,0.035,,0.015,,0.0016,0.0006
1718157600,12.06.2024 02:00,,0.03,0,0.034,,0.185,,0.0014,0.0006
1718161200,12.06.2024 03:00,,0,0,0.032,,0.026,,0.0015,0.0007
1718164800,12.06.2024 04:00,,0,0,0.029,,0.017,,0.0014,0.0006
1718168400,12.06.2024 05:00,,0,0,0.016,,0.013,,0.0013,0.0006
1718172000,12.06.2024 06:00,,0,0.001,0.016,,0.014,,0.0012,0.0006
1718175600,12.06.2024 07:00,,0,0.002,0.018,,0.017,,0.0013,0.0007
1718179200,12.06.2024 08:00,,0,0.004,0.02,,0.013,,0.0013,0.0007
1718182800,12.06.2024 09:00,,0,0.005,0.025,,0.019,,0.0016,0.0007
1718186400,12.06.2024 10:00,,0.1,0.009,0.032,,0.026,,0.0018,0.0009
1718190000,12.06.2024 11:00,,0.2,0.006,0.027,,0.037,,0.0018,0.0008
1718193600,12.06.2024 12:00,,0.27,0.005,0.027,,0.033,,0.0018,0.0008
1718197200,12.06.2024 13:00,,0.23,0.003,0.025,,0.033,,0.0021,0.0008
1718200800,12.06.2024 14:00,,0.23,0.001,0.014,,0.028,,0.002,0.0007
1718204400,12.06.2024 15:00,,0.3,0.001,0.014,,0.028,,0.0019,0.0007
1718208000,12.06.2024 16:00,,0.27,0.001,0.017,,0.016,,0.0021,0.0007
1718211600,12.06.2024 17:00,,0.43,0.012,0.041,,0.053,,0.0021,0.0007
1718215200,12.06.2024 18:00,,0.57,0.011,0.052,,0.038,,0.0016,0.0009
1718218800,12.06.2024 19:00,,0.5,0.005,0.062,,0.026,,0.0016,0.0008
1718222400,12.06.2024 20:00,,0.6,0.016,0.075,,0.034,,0.0017,0.0007
1718226000,12.06.2024 21:00,,0.7,0.028,0.079,,0.032,,0.0019,0.0009
1718229600,12.06.2024 22:00,,0.63,0.02,0.073,,0.031,,0.0019,0.0011
1718233200,12.06.2024 23:00,,0.53,0.016,0.069,,0.031,,0.0019,0.0009
1718236800,13.06.2024 00:00,,0.53,0.014,0.059,,0.035,,0.0018,0.001
1718240400,13.06.2024 01:00,,0.4,0.011,0.056,,0.029,,0.0017,0.0011
1718244000,13.06.2024 02:00,,0.23,0,0.034,,0.019,,0.0017,0.001
1718247600,13.06.2024 03:00,,0.27,0.004,0.046,,0.026,,0.0015,0.0009
1718251200,13.06.2024 04:00,,0.3,0.006,0.048,,0.025,,0.0014,0.001
1718254800,13.06.2024 05:00,,0.33,0.004,0.049,,0.027,,0.0015,0.0011
1718258400,13.06.2024 06:00,,0.27,0.008,0.044,,0.027,,0.0018,0.0012
1718262000,13.06.2024 07:00,,0.23,0.006,0.04,,0.028,,0.0017,0.0013
1718265600,13.06.2024 08:00,,0.3,0.013,0.048,,0.024,,0.0018,0.0013
1718269200,13.06.2024 09:00,,0.3,0.007,0.047,,0.014,,0.0015,0.0011
1718272800,13.06.2024 10:00,,0.27,0.008,0.044,,0.016,,0.0018,0.0009
1718276400,13.06.2024 11:00,,0.2,0.014,0.051,,0.02,,0.0022,0.0009
1718280000,13.06.2024 12:00,,0.13,0.005,0.038,,0.078,,0.002,0.0008
1718283600,13.06.2024 13:00,,0.2,0.012,0.054,,0.035,,0.0019,0.0009
1718287200,13.06.2024 14:00,,0.27,0.018,0.053,,0.015,,0.0022,0.0009
1718290800,13.06.2024 15:00,,0.33,0.022,0.062,,0.013,,0.002,0.001
1718294400,13.06.2024 16:00,,0.53,0.037,0.057,,0.019,,0.0018,0.0012
1718298000,13.06.2024 17:00,,0.43,0.031,0.034,,0.013,,0.0012,0.0011
1718301600,13.06.2024 18:00,,0.3,0.022,0.026,,0.006,,0.0008,0.0009
1718305200,13.06.2024 19:00,,0.27,0.02,0.025,,0.005,,0.0013,0.0009
1718308800,13.06.2024 20:00,,0.2,0.017,0.022,,0.009,,0.0018,0.0009
1718312400,13.06.2024 21:00,,0.2,0.016,0.021,,0.002,,0.0017,0.0008
