timestamp,datetime,CH4 (mg/m3),CO (mg/m3),NO (mg/m3),NO2 (mg/m3),OZ (mg/m3),PM10 (mg/m3),PM2.5 (mg/m3),SO2 (mg/m3),H2S (mg/m3)
1719781200,01.07.2024 00:00,1.37,0.37,0.0,0.052,0.0381,0.035,0.018,0.0006,0.0009
1719784800,01.07.2024 01:00,1.39,0.4,0.004,0.072,0.0118,0.039,0.018,0.0004,0.0009
1719788400,01.07.2024 02:00,1.41,0.5,0.015,0.07,0.0041,0.045,0.022,0.0006,0.0011
1719792000,01.07.2024 03:00,1.43,0.5,0.025,0.067,0.0031,0.036,0.02,0.0007,0.0014
1719795600,01.07.2024 04:00,1.44,0.5,0.025,0.061,0.003,0.031,0.018,0.0003,0.0013
1719799200,01.07.2024 05:00,1.4,0.27,0.005,0.04,0.0244,0.025,0.017,0.0004,0.001
1719802800,01.07.2024 06:00,1.4,0.27,0.005,0.037,0.0272,0.028,0.019,0.0005,0.0011
1719806400,01.07.2024 07:00,1.41,0.2,0.007,0.035,0.0378,0.03,0.019,0.0005,0.0009
1719810000,01.07.2024 08:00,1.39,0.23,0.009,0.032,0.048,0.025,0.015,0.0004,0.001
1719813600,01.07.2024 09:00,1.35,0.2,0.005,0.024,0.083,0.006,0.004,0.0007,0.0008
1719817200,01.07.2024 10:00,1.34,0.17,0.002,0.023,0.1096,0.004,0.0,0.0006,0.0009
1719820800,01.07.2024 11:00,1.34,0.13,0.002,0.016,0.1224,0.007,0.003,0.0005,0.0009
1719824400,01.07.2024 12:00,1.34,0.17,0.002,0.012,0.1294,0.027,0.013,0.0004,0.0008
1719828000,01.07.2024 13:00,1.34,0.2,0.003,0.014,0.1314,0.028,0.013,0.0007,0.0009
1719831600,01.07.2024 14:00,1.35,0.2,0.001,0.011,0.1383,0.02,0.009,0.0004,0.0007
1719835200,01.07.2024 15:00,1.35,0.2,0.001,0.013,0.1509,0.025,0.013,0.0004,0.0009
1719838800,01.07.2024 16:00,1.35,0.2,0.002,0.014,0.1415,0.016,0.007,0.0009,0.0008
1719842400,01.07.2024 17:00,1.35,0.23,0.002,0.013,0.1321,0.027,0.012,0.0009,0.0008
1719846000,01.07.2024 18:00,1.35,0.2,0.001,0.013,0.134,0.027,0.012,0.0009,0.0008
1719849600,01.07.2024 19:00,1.35,0.2,0.001,0.014,0.1277,0.026,0.013,0.0006,0.0008
1719853200,01.07.2024 20:00,1.35,0.2,0.0,0.015,0.125,0.027,0.014,0.0008,0.001
1719856800,01.07.2024 21:00,1.36,0.3,0.0,0.026,0.106,0.037,0.02,0.0007,0.001
1719860400,01.07.2024 22:00,1.38,0.27,0.0,0.032,0.0904,0.04,0.019,0.0005,0.0008
1719864000,01.07.2024 23:00,1.38,0.2,0.0,0.042,0.067,0.047,0.019,0.0003,0.0011
1719867600,02.07.2024 00:00,1.39,0.2,0.0,0.046,0.0593,0.039,0.017,0.0003,0.001
1719871200,02.07.2024 01:00,1.45,0.2,0.0,0.052,0.0543,0.035,0.017,0.0003,0.0009
1719874800,02.07.2024 02:00,1.41,0.13,0.0,0.039,0.0693,0.042,0.02,0.0003,0.001
1719878400,02.07.2024 03:00,1.4,0.1,0.0,0.038,0.0576,0.042,0.022,0.0003,0.001
1719882000,02.07.2024 04:00,1.41,0.17,0.002,0.042,0.0346,0.046,0.025,0.0003,0.001
