timestamp,datetime,CH4 (mg/m3),CO (mg/m3),NO (mg/m3),NO2 (mg/m3),OZ (mg/m3),PM10 (mg/m3),PM2.5 (mg/m3),SO2 (mg/m3),H2S (mg/m3)
1717200000,01.06.2024 00:00,,0.57,0.014,0.103,,0.054,,0.0022,0.0
1717203600,01.06.2024 01:00,,0.53,0.017,0.105,,0.047,,0.0023,0.0019
1717207200,01.06.2024 02:00,,0.53,0.018,0.09,,0.045,,0.0023,0.0022
1717210800,01.06.2024 03:00,,0.43,0.016,0.064,,0.052,,0.0022,0.0016
1717214400,01.06.2024 04:00,,0.3,0.009,0.053,,0.054,,0.002,0.0013
1717218000,01.06.2024 05:00,,0.3,0.01,0.06,,0.055,,0.0021,0.0005
1717221600,01.06.2024 06:00,,0.27,0.014,0.056,,0.055,,0.0021,0.0
1717225200,01.06.2024 07:00,,0.3,0.014,0.057,,0.054,,0.0021,0.0004
1717228800,01.06.2024 08:00,,0.3,0.017,0.053,,0.053,,0.0023,0.0006
1717232400,01.06.2024 09:00,,0.33,0.018,0.054,,0.056,,0.0021,0.0006
1717236000,01.06.2024 10:00,,0.37,0.024,0.058,,0.057,,0.0023,0.0009
1717239600,01.06.2024 11:00,,0.43,0.028,0.061,,0.061,,0.0023,0.0014
1717243200,01.06.2024 12:00,,0.63,0.019,0.059,,0.062,,0.0024,0.0013
1717246800,01.06.2024 13:00,,0.6,0.023,0.058,,0.059,,0.0027,0.0012
1717250400,01.06.2024 14:00,,0.77,0.032,0.073,,0.057,,0.003,0.001
1717254000,01.06.2024 15:00,,0.73,0.031,0.078,,0.052,,0.0029,0.0013
1717257600,01.06.2024 16:00,,0.77,0.033,0.08,,0.05,,0.0029,0.0009
1717261200,01.06.2024 17:00,,0.67,0.02,0.065,,0.052,,0.0025,0.0017
1717264800,01.06.2024 18:00,,0.6,0.016,0.062,,0.053,,0.0026,0.0022
1717268400,01.06.2024 19:00,,0.73,0.023,0.075,,0.05,,0.0026,0.0013
1717272000,01.06.2024 20:00,,0.43,0.008,0.058,,0.049,,0.0023,0.0008
1717275600,01.06.2024 21:00,,0.5,0.011,0.057,,0.062,,0.0024,0.0007
1717279200,01.06.2024 22:00,,0.63,0.017,0.079,,0.068,,0.0035,0.0013
1717282800,01.06.2024 23:00,,0.63,0.012,0.078,,0.06,,0.0031,0.0017
1717286400,02.06.2024 00:00,,0.4,0.022,0.078,,0.056,,0.0031,0.0022
1717290000,02.06.2024 01:00,,0.4,0.019,0.085,,0.055,,0.0033,0.001
1717293600,02.06.2024 02:00,,0.57,0.037,0.083,,0.054,,0.0035,0.0009
1717297200,02.06.2024 03:00,,0.2,0.008,0.056,,0.051,,0.0029,0.0007
1717300800,02.06.2024 04:00,,0.2,0.01,0.055,,0.05,,0.0028,0.001
1717304400,02.06.2024 05:00,,0.1,0.007,0.052,,0.039,,0.0026,0.0013
