timestamp,datetime,CH4 (mg/m3),CO (mg/m3),NO (mg/m3),NO2 (mg/m3),OZ (mg/m3),PM10 (mg/m3),PM2.5 (mg/m3),SO2 (mg/m3),H2S (mg/m3)
1722459600,01.08.2024 00:00,,0.3,0.004,0.016,,0.018,0.002,,
1722463200,01.08.2024 01:00,,0.2,0.003,0.015,,0.019,0.003,,
1722466800,01.08.2024 02:00,,0.2,0.002,0.013,,0.02,0.004,,
1722470400,01.08.2024 03:00,,0.2,0.005,0.018,,0.017,0.004,,
1722474000,01.08.2024 04:00,,0.2,0.005,0.016,,0.015,0.005,,
1722477600,01.08.2024 05:00,,0.17,0.002,0.013,,0.012,0.003,,
1722481200,01.08.2024 06:00,,0.2,0.003,0.012,,0.01,0.002,,
1722484800,01.08.2024 07:00,,0.2,0.005,0.012,,0.015,0.003,,
1722488400,01.08.2024 08:00,,0.27,0.008,0.012,,0.017,0.004,,
1722492000,01.08.2024 09:00,,0.27,0.009,0.014,,0.017,0.002,,
1722495600,01.08.2024 10:00,,0.43,0.017,0.022,,0.017,0.002,,
1722499200,01.08.2024 11:00,,0.4,0.014,0.025,,0.017,0.002,,
1722502800,01.08.2024 12:00,,0.27,0.017,0.027,,0.017,0.002,,
1722506400,01.08.2024 13:00,,0.27,0.008,0.027,,0.013,0.002,,
1722510000,01.08.2024 14:00,,0.27,0.012,0.027,,0.011,0.002,,
1722513600,01.08.2024 15:00,,0.3,0.012,0.024,,0.011,0.002,,
1722517200,01.08.2024 16:00,,0.23,0.008,0.018,,0.01,0.001,,
1722520800,01.08.2024 17:00,,0.2,0.006,0.018,,0.013,0.001,,
1722524400,01.08.2024 18:00,,0.2,0.006,0.021,,0.015,0.001,,
1722528000,01.08.2024 19:00,,0.3,0.007,0.024,,0.017,0.001,,
1722531600,01.08.2024 20:00,,0.23,0.004,0.02,,0.018,0.001,,
1722535200,01.08.2024 21:00,,0.2,0.003,0.019,,0.019,0.003,,
1722538800,01.08.2024 22:00,,0.2,0.005,0.02,,0.019,0.003,,
1722542400,01.08.2024 23:00,,0.27,0.006,0.022,,0.022,0.002,,
1722546000,02.08.2024 00:00,,0.3,0.012,0.026,,0.023,0.002,,
1722549600,02.08.2024 01:00,,0.13,0.007,0.022,,0.023,0.003,,
1722553200,02.08.2024 02:00,,0.1,0.002,0.016,,0.022,0.003,,
1722556800,02.08.2024 03:00,,0.0,0.002,0.011,,0.018,0.003,,
1722560400,02.08.2024 04:00,,0.0,0.001,0.008,,0.016,0.003,,
1722564000,02.08.2024 05:00,,0.0,0.002,0.006,,0.013,0.004,,
1722567600,02.08.2024 06:00,,0.0,0.002,0.005,,0.012,0.004,,
1722571200,02.08.2024 07:00,,0.0,0.002,0.005,,0.012,0.003,,
1722574800,02.08.2024 08:00,,0.07,0.005,0.008,,0.012,0.003,,
1722578400,02.08.2024 09:00,,0.1,0.006,0.009,,0.011,0.002,,
1722582000,02.08.2024 10:00,,0.2,0.011,0.012,,0.01,0.002,,
1722585600,02.08.2024 11:00,,0.17,0.011,0.011,,0.014,0.002,,
1722589200,02.08.2024 12:00,,0.27,0.01,0.011,,0.017,0.002,,
1722592800,02.08.2024 13:00,,0.23,0.007,0.011,,0.018,0.003,,
1722596400,02.08.2024 14:00,,0.33,0.009,0.013,,0.019,0.004,,
1722600000,02.08.2024 15:00,,0.23,0.006,0.011,,0.019,0.003,,
1722603600,02.08.2024 16:00,,0.3,0.008,0.013,,0.019,0.002,,
1722607200,02.08.2024 17:00,,0.27,0.007,0.013,,0.022,0.004,,
1722610800,02.08.2024 18:00,,0.2,0.004,0.013,,0.024,0.005,,
1722614400,02.08.2024 19:00,,0.23,0.006,0.017,,0.024,0.003,,
1722618000,02.08.2024 20:00,,0.37,0.015,0.025,,0.024,0.003,,
1722621600,02.08.2024 21:00,,0.23,0.003,0.018,,0.023,0.004,,
1722625200,02.08.2024 22:00,,0.3,0.003,0.023,,0.022,0.005,,
1722628800,02.08.2024 23:00,,0.43,0.012,0.024,,0.017,0.004,,
1722632400,03.08.2024 00:00,,0.53,0.013,0.023,,0.014,0.004,,
1722636000,03.08.2024 01:00,,0.5,0.008,0.021,,0.018,0.003,,
1722639600,03.08.2024 02:00,,0.5,0.01,0.02,,0.02,0.002,,
1722643200,03.08.2024 03:00,,0.43,0.01,0.018,,0.025,0.005,,
1722646800,03.08.2024 04:00,,0.33,0.008,0.016,,0.029,0.006,,
1722650400,03.08.2024 05:00,,0.37,0.006,0.014,,0.023,0.004,,
1722654000,03.08.2024 06:00,,0.33,0.008,0.012,,0.019,0.003,,
1722657600,03.08.2024 07:00,,0.4,0.013,0.013,,0.018,0.004,,
1722661200,03.08.2024 08:00,,0.37,0.015,0.011,,0.018,0.004,,
1722664800,03.08.2024 09:00,,0.4,0.017,0.012,,0.021,0.003,,
1722668400,03.08.2024 10:00,,0.37,0.015,0.011,,0.022,0.003,,
1722672000,03.08.2024 11:00,,0.4,0.011,0.011,,0.02,0.002,,
1722675600,03.08.2024 12:00,,0.37,0.012,0.012,,0.019,0.002,,
1722679200,03.08.2024 13:00,,,0.011,0.014,,0.022,0.004,,
1722682800,03.08.2024 14:00,,,0,0,,0.023,0.005,,
1722686400,03.08.2024 15:00,,,0.009,0.016,,0.021,0.005,,
1722690000,03.08.2024 16:00,,,0.009,0.017,,0.019,0.005,,
1722693600,03.08.2024 17:00,,,0.006,0.012,,0.021,0.004,,
1722697200,03.08.2024 18:00,,,0.008,0.017,,0.021,0.004,,
1722700800,03.08.2024 19:00,,,0.005,0.016,,0.023,0.003,,
1722704400,03.08.2024 20:00,,,0.002,0.015,,0.024,0.003,,
1722708000,03.08.2024 21:00,,,0.004,0.022,,0.025,0.006,,
1722711600,03.08.2024 22:00,,,0.004,0.028,,0.026,0.007,,
1722715200,03.08.2024 23:00,,,0.007,0.029,,0.028,0.005,,
1722718800,04.08.2024 00:00,,,0.016,0.03,,0.028,0.004,,
1722722400,04.08.2024 01:00,,,0.023,0.031,,0.03,0.005,,
1722726000,04.08.2024 02:00,,,0.024,0.029,,0.03,0.006,,
1722729600,04.08.2024 03:00,,,0.012,0.028,,0.035,0.004,,
1722733200,04.08.2024 04:00,,,0.008,0.027,,0.038,0.003,,
1722736800,04.08.2024 05:00,,,0.005,0.023,,0.029,0.004,,
1722740400,04.08.2024 06:00,,,0.008,0.021,,0.023,0.005,,
1722744000,04.08.2024 07:00,,,0.015,0.02,,0.022,0.006,,
1722747600,04.08.2024 08:00,,,0.013,0.02,,0.021,0.006,,
1722751200,04.08.2024 09:00,,,0.007,0.014,,0.026,0.004,,
1722754800,04.08.2024 10:00,,,0.004,0.01,,0.029,0.004,,
1722758400,04.08.2024 11:00,,,0.004,0.01,,0.02,0.004,,
1722762000,04.08.2024 12:00,,,0.004,0.01,,0.015,0.004,,
1722765600,04.08.2024 13:00,,,0.004,0.013,,0.011,0.003,,
1722769200,04.08.2024 14:00,,,0.004,0.011,,0.008,0.002,,
